time,lcc,eff_norm,weighted_surv
0.000000,1.000000,1.000000,1.000000
1.005025,1.000000,1.000000,1.000000
2.010050,0.980000,1.000000,0.967320
3.015075,0.980000,1.000000,0.967320
4.020101,0.980000,1.000000,0.993464
5.025126,0.960000,1.000000,0.986928
6.030151,0.980000,1.000000,0.993464
7.035176,1.000000,1.000000,1.000000
8.040201,0.980000,1.000000,0.993464
9.045226,0.980000,1.000000,0.993464
10.050251,0.940000,1.000000,0.980392
11.055276,0.920000,1.000000,0.915033
12.060302,0.900000,1.000000,0.882353
13.065327,0.900000,1.000000,0.882353
14.070352,0.920000,1.000000,0.888889
15.075377,0.920000,1.000000,0.830065
16.080402,0.940000,1.000000,0.836601
17.085427,0.920000,1.000000,0.803922
18.090452,0.920000,1.000000,0.803922
19.095477,0.940000,1.000000,0.836601
20.100503,0.960000,1.000000,0.869281
21.105528,0.960000,1.000000,0.869281
22.110553,0.940000,1.000000,0.862745
23.115578,0.880000,1.000000,0.816993
24.120603,0.880000,1.000000,0.816993
25.125628,0.860000,1.000000,0.810458
26.130653,0.840000,1.000000,0.777778
27.135678,0.840000,1.000000,0.836601
28.140704,0.840000,1.000000,0.777778
29.145729,0.860000,1.000000,0.810458
30.150754,0.840000,1.000000,0.803922
31.155779,0.860000,1.000000,0.836601
32.160804,0.840000,1.000000,0.888889
33.165829,0.840000,1.000000,0.888889
34.170854,0.860000,1.000000,0.895425
35.175879,0.880000,1.000000,0.901961
36.180905,0.880000,1.000000,0.843137
37.185930,0.900000,1.000000,0.849673
38.190955,0.900000,1.000000,0.849673
39.195980,0.920000,1.000000,0.915033
40.201005,0.940000,1.000000,0.921569
41.206030,0.920000,1.000000,0.888889
42.211055,0.900000,1.000000,0.882353
43.216080,0.900000,1.000000,0.882353
44.221106,0.880000,1.000000,0.875817
45.226131,0.880000,1.000000,0.901961
46.231156,0.880000,1.000000,0.901961
47.236181,0.880000,1.000000,0.901961
48.241206,0.860000,1.000000,0.895425
49.246231,0.840000,1.000000,0.888889
50.251256,0.840000,1.000000,0.830065
51.256281,0.860000,1.000000,0.836601
52.261307,0.800000,1.000000,0.758170
53.266332,0.800000,1.000000,0.758170
54.271357,0.780000,1.000000,0.751634
55.276382,0.760000,1.000000,0.745098
56.281407,0.740000,1.000000,0.738562
57.286432,0.740000,1.000000,0.738562
58.291457,0.740000,1.000000,0.738562
59.296482,0.740000,1.000000,0.738562
60.301508,0.740000,1.000000,0.738562
61.306533,0.740000,1.000000,0.738562
62.311558,0.720000,1.000000,0.732026
63.316583,0.700000,1.000000,0.725490
64.321608,0.700000,1.000000,0.725490
65.326633,0.680000,1.000000,0.660131
66.331658,0.680000,1.000000,0.660131
67.336683,0.680000,1.000000,0.660131
68.341709,0.660000,1.000000,0.627451
69.346734,0.640000,1.000000,0.594771
70.351759,0.640000,1.000000,0.594771
71.356784,0.620000,1.000000,0.588235
72.361809,0.600000,1.000000,0.581699
73.366834,0.560000,1.000000,0.542484
74.371859,0.520000,1.000000,0.503268
75.376884,0.520000,1.000000,0.503268
76.381910,0.520000,1.000000,0.503268
77.386935,0.500000,1.000000,0.496732
78.391960,0.500000,1.000000,0.496732
79.396985,0.480000,1.000000,0.490196
80.402010,0.460000,1.000000,0.457516
81.407035,0.460000,1.000000,0.457516
82.412060,0.440000,1.000000,0.424837
83.417085,0.440000,1.000000,0.424837
84.422111,0.440000,1.000000,0.424837
85.427136,0.440000,1.000000,0.424837
86.432161,0.440000,1.000000,0.424837
87.437186,0.440000,1.000000,0.424837
88.442211,0.440000,1.000000,0.424837
89.447236,0.440000,1.000000,0.424837
90.452261,0.440000,1.000000,0.424837
91.457286,0.440000,1.000000,0.424837
92.462312,0.440000,1.000000,0.424837
93.467337,0.420000,1.000000,0.392157
94.472362,0.400000,1.000000,0.359477
95.477387,0.400000,1.000000,0.359477
96.482412,0.380000,1.000000,0.352941
97.487437,0.380000,1.000000,0.352941
98.492462,0.380000,1.000000,0.352941
99.497487,0.380000,1.000000,0.352941
100.502513,0.360000,1.000000,0.346405
101.507538,0.340000,1.000000,0.313725
102.512563,0.320000,1.000000,0.307190
103.517588,0.320000,1.000000,0.307190
104.522613,0.320000,1.000000,0.307190
105.527638,0.300000,1.000000,0.300654
106.532663,0.280000,1.000000,0.294118
107.537688,0.280000,1.000000,0.294118
108.542714,0.280000,1.000000,0.294118
109.547739,0.280000,1.000000,0.294118
110.552764,0.280000,1.000000,0.294118
111.557789,0.240000,1.000000,0.281046
112.562814,0.240000,1.000000,0.281046
113.567839,0.220000,1.000000,0.274510
114.572864,0.220000,1.000000,0.274510
115.577889,0.200000,1.000000,0.267974
